,split,optimal
0,-20,-10
1,-20,-10
2,-20,-10
3,-20,-10
4,-20,-10
5,-20,-10
6,-20,-10
7,-20,-10
8,-20,-10
9,-20,-10
10,-20,-10
11,-20,-10
12,-20,-10
13,-20,-10
14,-20,-10
15,-20,-10
16,-20,-10
17,-20,-10
18,-20,-10
19,-20,-10
20,-20,-10
21,-20,-10
22,-20,-10
23,-20,-10
24,-20,-10
25,-20,-10
26,-20,-10
27,-20,-10
28,-20,-10
29,-20,-10
30,-20,-10
31,-20,-10
32,-20,-10
33,-20,-10
34,-20,-10
35,-20,-10
36,-20,-10
37,-20,-10
38,-20,-10
39,-20,-10
40,-20,-10
41,-20,-10
42,-20,-10
43,-20,-10
44,-20,-10
45,-20,-10
46,-20,-10
47,-20,-10
48,-20,-10
49,-20,-10
50,-20,-10
51,-20,-10
52,-20,-10
53,-20,-10
54,-20,-10
55,-20,-10
56,-20,-10
57,-20,-10
58,-20,-10
59,-20,-10
60,-20,-10
61,-20,-10
62,-20,-10
63,-20,-10
64,-20,-10
65,-20,-10
66,-20,-10
67,-20,-10
68,-20,-10
69,-20,-10
70,-20,-10
71,-20,-10
72,-20,-10
73,-20,-10
74,-20,-10
75,-20,-10
76,-20,-10
77,-20,-10
78,-20,-10
79,-20,-10
80,-20,-10
81,-20,-10
82,-20,-10
83,-20,-10
84,-20,-10
85,-20,-10
86,-20,-10
87,-20,-10
88,-20,-10
89,-20,-10
90,-20,-10
91,-20,-10
92,-20,-10
93,-20,-10
94,-20,-10
95,-20,-10
96,-20,-10
97,-20,-10
98,-20,-10
99,-20,-10
100,-20,-10
101,-20,-10
102,-20,-10
103,-20,-10
104,-20,-10
105,-20,-10
106,-20,-10
107,-20,-10
108,-20,-10
109,-20,-10
110,-20,-10
111,-20,-10
112,-20,-10
113,-20,-10
114,-20,-10
115,-20,-10
116,-20,-10
117,-20,-10
118,-20,-10
119,-20,-10
120,-20,-10
121,-20,-10
122,-20,-10
123,-20,-10
124,-20,-10
125,-20,-10
126,-20,-10
127,-20,-10
128,-20,-10
129,-20,-10
130,-20,-10
131,-20,-10
132,-20,-10
133,-20,-10
134,-20,-10
135,-20,-10
136,-20,-10
137,-20,-10
138,-20,-10
139,-20,-10
140,-20,-10
141,-20,-10
142,-20,-10
143,-20,-10
144,-20,-10
145,-20,-10
146,-20,-10
147,-20,-10
148,-20,-10
149,-20,-10
150,-20,-10
151,-20,-10
152,-20,-10
153,-20,-10
154,-20,-10
155,-20,-10
156,-20,-10
157,-20,-10
158,-20,-10
159,-20,-10
160,-20,-10
161,-20,-10
162,-20,-10
163,-20,-10
164,-20,-10
165,-20,-10
166,-20,-10
167,-20,-10
168,-20,-10
169,-20,-10
170,-20,-10
171,-20,-10
172,-20,-10
173,-20,-10
174,-20,-10
175,-20,-10
176,-20,-10
177,-20,-10
178,-20,-10
179,-20,-10
180,-20,-10
181,-20,-10
182,-20,-10
183,-20,-10
184,-20,-10
185,-20,-10
186,-20,-10
187,-20,-10
188,-20,-10
189,-20,-10
190,-20,-10
191,-20,-10
192,-20,-10
193,-20,-10
194,-20,-10
195,-20,-10
196,-20,-10
197,-20,-10
198,-20,-10
199,-20,-10
200,-20,-10
201,-20,-10
202,-20,-10
203,-20,-10
204,-20,-10
205,-20,-10
206,-20,-10
207,-20,-10
208,-20,-10
209,-20,-10
210,-20,-10
211,-20,-10
212,-20,-10
213,-20,-10
214,-20,-10
215,-20,-10
